Nombre,Region,CUT_Reg,Provincia,CUT_provin,Comuna,CUT_comuna,Categoria_,SUP_M2,T__HOGARES,SUP_km,xcoord,ycoord
27 de Febrero,Valparaíso,"5",San Antonio,"56",Cartagena,"5603",Urbano,17648.69599960000,"78",0.01764869683,-71.6024104524321,-33.5539430822011
La Playita,Valparaíso,"5",Valparaíso,"51",Casablanca,"5102",Urbano,15614.41373470000,"38",0.01561441678,-71.4506257048102,-33.2492801474614
Domingo Jofre,Valparaíso,"5",San Antonio,"56",El Tabo,"5605",Urbano,1936.81649206000,"11",0.00193681835,-71.6649640994214,-33.4509192906486
Caleta San Marcos,Tarapacá,"1",Iquique,"11",Iquique,"1101",Rural,29886.46628900000,"56",0.02988646361,-70.1234452243421,-21.115176671134
Ex Vertedero Norte,Tarapacá,"1",Iquique,"11",Alto Hospicio,"1107",Urbano,66827.95893959999,"394",0.06682796817,-70.0993692924962,-20.2854861418428
Laguna Verde Central,Tarapacá,"1",Iquique,"11",Iquique,"1101",Rural,25037.43251380000,"244",0.02503741947,-70.1247599669432,-20.2456972946483
La Fuerza de los Vientos,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,27129.42538910000,"29",0.02712943243,-71.6352936331946,-33.0579182426928
Angel Parra,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,29486.68777620000,"30",0.02948668751,-71.6316733050277,-33.0619374502656
Viento Fuerte,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,22478.02870200000,"27",0.02247801832,-71.630355701587,-33.0623168063912
Buenavista,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,8688.60659955000,"19",0.00868860647,-71.6296084536982,-33.0577346483272
Colonizadores del Alto,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Rural,16243.53824740000,"29",0.01624353708,-71.5821201611454,-33.0837533459299
Las Rocas,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,4233.47325749000,"19",0.00423347326,-71.5437385015021,-33.0403510969283
El Salto (Comite Medialuna de El Salto),Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,73643.51311889999,"126",0.07364350123,-71.5003178313902,-33.0535840133421
Por un mañana mejor,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,2976.93456646000,"0",0.00297693292,-71.5188220244723,-33.0264779336825
Canchita El Ciprés,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5932.25314621000,"24",0.00593226018,-71.5160547560019,-33.0249237765726
Eben Ezer II,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,8975.69394184000,"29",0.00897569384,-71.5094146365407,-33.0182811346299
Caupolicán,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,4318.11975204000,"22",0.00431811832,-71.5155359712559,-33.0019050836186
Fénix,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,34171.49718480000,"83",0.03417150392,-71.4757443020391,-33.0013717186676
Villa Bendición,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,11644.70789980000,"31",0.01164471132,-71.4812601318576,-33.0072853306913
Villa Libertad,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,10680.14052550000,"36",0.01068013454,-71.5294961032743,-33.0074215610947
Juventud Libertad,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5497.94116940000,"29",0.00549794145,-71.5272221959528,-33.0053390676186
Faro Vista al Mar,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,4890.14020879000,"18",0.00489014074,-71.5742969642097,-33.0630342423214
La Laguna,Valparaíso,"5",Valparaíso,"51",Valparaíso,"5101",Urbano,5630.66299439000,"11",0.00563066383,-71.5690652568432,-33.055118874203
Sauce 2,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,29126.62080900000,"49",0.02912661535,-71.4895708413072,-33.031401877285
Nueva Ampliación,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,3545.21519148000,"22",0.00354521728,-71.5013104585846,-32.9911469067968
Esperanza,Valparaíso,"5",Valparaíso,"51",Viña del Mar,"5109",Urbano,5559.89537638000,"23",0.00555989721,-71.5011834269202,-32.9892031301602
Las Juntas,Valparaíso,"5",Los Andes,"53",Los Andes,"5301",Urbano,43708.24043500000,"21",0.04370823982,-70.6071847732364,-32.8152423860442
Sargento Aldea,Valparaíso,"5",Marga Marga,"58",Villa Alemana,"5804",Urbano,6060.67224168000,"16",0.00606067401,-71.3680021518307,-33.0425306602099
Ex santa elena,Valparaíso,"5",Marga Marga,"58",Villa Alemana,"5804",Urbano,11369.85673070000,"31",0.01136985551,-71.357972649756,-33.0416970206376
